Article Number,Product Name,Category,Price (MKD),Has Image
32515,HL/1 E27 nickel-matt 'TUNJA',Внатрешно осветлување,833,Yes
32527,HL/1 E27 white/black 'YORTH',Внатрешно осветлување,1.21,Yes
32532,HL/1 E27 concrete optics/red 'YORTH',Внатрешно осветлување,818,Yes
32535,HL/1 E27 copper/black 'YORTH',Внатрешно осветлување,1.69,Yes
32537,HL/1 E27 black-gold/black 'YORTH',Внатрешно осветлување,1.66,Yes
32538,HL/1 E27 brass/black 'YORTH',Внатрешно осветлување,887,Yes
32539,HL/1 E27 KUPFER-GEB/SCHWARZ 'YORTH',Внатрешно осветлување,1436.89,Yes
32542,HL/1 E27 copper/black-white 'YORTH',Внатрешно осветлување,810,Yes
32566,LED-WL/CL/1 nickel-matt/sat.'PALENA',Внатрешно осветлување,1.12,Yes
32567,LED-WL/CL/2 nickel-matt/sat.'PALENA',Внатрешно осветлување,2.45,Yes
32568,LED-WL/CL/3 nickel-matt/sat.'PALENA',Внатрешно осветлување,3.42,Yes
32572,LED-CL Ø245 white 'COMPETA 1',Внатрешно осветлување,2.12,Yes
32573,LED-CL Ø325 white 'COMPETA 1',Внатрешно осветлување,2.74,Yes
32574,LED-CL Ø430 white 'COMPETA 1',Внатрешно осветлување,2.45,Yes
32651,CL/1 E27 Ø380 white 'REVILLA',Внатрешно осветлување,2.13,Yes
32673,CL/1 E27 Ø380 taupe 'REVILLA',Внатрешно осветлување,2.35,Yes
32765,WL/1 G9-LED SCHWARZ/AMBER 'ZAPATA 1',Внатрешно осветлување,1177.11,Yes
32766,LS/2 G9-LED SCHWARZ/AMBER 'ZAPATA 1',Сијалици,2439.46,Yes
32767,LS/4 G9-LED SCHWARZ/AMBER 'ZAPATA 1',Сијалици,4876.89,Yes
32811,LED-CL 1200X300 4000K opal,Внатрешно осветлување,5.03,Yes
32812,LED-CL 300X300 4000K opal,Внатрешно осветлување,2.55,Yes
32813,LED-CL 595X595 4000K opal,Внатрешно осветлување,5.03,Yes
32891,CL/1 Ø380 white 'REVILLA 1',Внатрешно осветлување,2.24,Yes
32892,CL/1 Ø380 anthracite-brown/white'REVILLA,Внатрешно осветлување,2,Yes
32893,CL/1 Ø380 grey/white 'REVILLA 1',Внатрешно осветлување,2,Yes
32895,CL/1 Ø380 taupe/white 'REVILLA 1',Внатрешно осветлување,1.97,Yes
32896,set 3xrecessed-sp. Ø90 white moveable,Внатрешно осветлување,887,Yes
32898,OD-WL/2 w.sensor stainless steel 'RIGA 5,Внатрешно осветлување,3.92,Yes
32899,OD-WL/2 w.sensor anthracite 'RIGA 5',Внатрешно осветлување,3.81,Yes
32916,HL/4 SCHWARZ/EICHE-OPTIK 'TOWNSHEND',Внатрешно осветлување,5418.77,Yes
32958,LED-panel 450X450 4000K,Внатрешно осветлување,3.08,Yes
32959,LED-panel 600X300 4000K,Внатрешно осветлување,3.44,Yes
33107,LED-RGBW-panel 450X450,,3.58,Yes
33108,LED-RGBW-panel 600X300,,4.28,Yes
33152,AL-LED-STRAHLER 10W WEISS 'FAEDO 3',Внатрешно осветлување,1120.28,Yes
33153,AL-LED-STRAHLER 20W WEISS 'FAEDO 3',Внатрешно осветлување,1570.83,Yes
33154,AL-LED-STRAHLER 30W WEISS 'FAEDO 3',Внатрешно осветлување,2143.15,Yes
33155,OD-LED-spotlight 50W white 'FAEDO 3',Внатрешно осветлување,2.8,Yes
33156,OD-LED-spotlight 10W w.senor white'FAEDO,Внатрешно осветлување,1.67,Yes
33157,OD-LED-spotlight 20W w.senor white'FAEDO,Внатрешно осветлување,2.41,Yes
33158,OD-LED-spotlight 30W w.senor white'FAEDO,Внатрешно осветлување,2.97,Yes
33159,OD-LED-spotlight 50W w.senor white'FAEDO,Внатрешно осветлување,3.26,Yes
33163,TL/1 WEISS/EICHE-OPTIK 'TOWNSHEND',Внатрешно осветлување,1885.41,Yes
33164,HL/4 white/oak-optic 'TOWNSHEND',Внатрешно осветлување,4.13,Yes
33165,HL/6 E27 white/oak-optics 'TOWNSHEND',Внатрешно осветлување,3.62,Yes
33166,CL/3 white/oak-optic 'TOWNSHEND',Внатрешно осветлување,3.46,Yes
